,0
0,0.0014026966853736822
1,0.000261725259636965
2,0.00026517091011044465
3,0.00010494517652496826
4,9.64825127823457e-05
5,0.0002349395738009716
6,7.445861939495663e-05
7,6.353895068858723e-05
8,0.00016420410636015442
9,0.00010842300072977818
10,9.29201201274176e-05
11,9.299649983537089e-05
12,7.578885731532439e-05
13,0.0007217730256286365
14,9.888360716952013e-05
15,8.864768240615991e-05
16,9.903705708428335e-05
17,9.872190481058398e-05
18,0.0002206183119442392
19,0.00013487585408473752
20,0.00014511838361207338
21,0.00011529874767244413
22,0.00017755640653196986
23,0.00015659535081143292
24,8.347407151018533e-05
25,0.00012473146965273583
26,8.824443526135726e-05
27,0.00010416941015738687
28,0.00012597399696821985
29,0.00011075079929300053
30,0.00014190443266937674
31,9.72988443376585e-05
32,0.00019472962596120638
33,0.00013350127334132604
34,0.0008494821609278061
35,0.00017315219318342717
36,8.963473619236934e-05
37,0.00015638605078136406
38,0.00021433652596304702
39,0.00010970077014727536
40,0.0003054336282243583
41,0.00016746919183259617
42,9.557517431838088e-05
43,0.00022799462159215462
44,0.00047185881991828227
45,9.603635172962396e-05
46,0.00044764790954459976
47,9.685418074499722e-05
48,0.00011830591651765971
49,0.00010091953374440874
50,0.000270286965373224
51,0.00010927087025024286
52,9.902253182329821e-05
53,9.868993427064201e-05
54,0.00014691103199740118
55,0.0001062884491629688
56,0.00040122645314739463
57,0.00012480895037378955
58,0.0002591939370251187
59,0.0001629329055925614
60,0.00011319890889571039
61,9.896030560368808e-05
62,0.00010670604492434223
63,0.00013205797076563665
64,0.00012883163610689238
65,0.00015694769573476543
66,0.0003193239092289992
67,0.00017922831590648278
68,0.00016737274577614258
69,0.00016044248175279893
70,0.00019261629758896527
71,0.00013216418015023484
72,0.00011273194306334293
73,0.00012117588843014918
74,9.370995266526358e-05
75,0.00011888157752879721
76,0.0001303995704460496
77,0.00016100231697124497
78,0.00012242290143317503
79,0.00010186617016774469
80,0.00010968396204110836
81,0.00010853603903753085
82,0.00011617517483186668
83,0.00020994130979722593
84,0.00012153591581830947
85,0.00011309479383695441
86,9.694244305699597e-05
87,0.00010251902316032825
88,0.00010280782407224094
89,8.732520685277226e-05
90,9.401857710406857e-05
91,0.0001036991396104721
92,0.00015072536055992295
93,0.00010714815039913344
94,0.00022442281184789165
95,0.0001554426777050361
96,0.00011892864654868895
97,0.00014929777594290526
98,9.178639936506923e-05
99,8.705948209661164e-05
